driver,season,round,circuit_id,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,nationality,constructor,grid,podium,driver_points_after_race.1,driver_wins_after_race.1,driver_standings_pos_after_race.1,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,qualifying_time,driver_age,wins_percentage,change_teams
boutsen,1983,7,detroit,True,False,False,False,False,Belgian,arrows,10,7,0,0,29,0,0,0,4,0,6,2.852,25,,0
surer,1983,7,detroit,True,False,False,False,False,Swiss,arrows,5,11,4,0,10,4,0,10,4,0,6,2.011,31,,0
manfred_winkelhock,1983,7,detroit,True,False,False,False,False,German,ats,22,20,0,0,22,0,0,20,0,0,13,4.732,31,,0
patrese,1983,7,detroit,True,False,False,False,False,Italian,brabham,15,22,0,0,21,0,0,19,24,1,3,3.803,29,0.0,0
piquet,1983,7,detroit,True,False,False,False,False,Brazilian,brabham,2,4,24,1,2,21,1,1,24,1,3,0.19899999999999998,30,0.0,0
arnoux,1983,7,detroit,True,False,False,False,False,French,ferrari,1,17,8,0,7,8,0,7,31,1,2,0.0,34,,0
tambay,1983,7,detroit,True,False,False,False,False,French,ferrari,3,26,23,1,3,17,1,3,31,1,2,1.2570000000000001,33,,0
boesel,1983,7,detroit,True,False,False,False,False,Brazilian,ligier,23,10,0,0,16,0,0,15,0,0,11,4.806,25,0.0,0
jarier,1983,7,detroit,True,False,False,False,False,French,ligier,19,19,0,0,20,0,0,18,0,0,11,4.26,36,,0
lauda,1983,7,detroit,True,False,False,False,False,Austrian,mclaren,18,13,10,0,6,10,0,6,21,1,5,4.258,34,,0
watson,1983,7,detroit,True,False,False,False,False,British,mclaren,21,3,11,1,5,11,1,5,21,1,5,4.516,37,,0
ghinzani,1983,7,detroit,True,False,False,False,False,Italian,osella,24,25,0,0,30,0,0,29,0,0,15,5.151,31,0.0,1
cheever,1983,7,detroit,True,False,False,False,False,American,renault,7,24,8,0,8,4,0,9,36,2,1,2.6,25,,0
prost,1983,7,detroit,True,False,False,False,False,French,renault,13,8,28,2,1,19,1,2,36,2,1,3.1210000000000004,28,,0
