season,round,circuit_id,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,driver,nationality,constructor,grid,podium,driver_points_after_race.1,driver_wins_after_race.1,driver_standings_pos_after_race.1,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,qualifying_time,driver_age,wins_percentage
1983,6,spa,FALSE,FALSE,FALSE,FALSE,FALSE,baldi,Italian,alfa,12,25,1,0,12,0,0,19,1,0,8,4.61,29,
1983,6,spa,FALSE,FALSE,FALSE,FALSE,FALSE,angelis,Italian,team_lotus,13,9,0,0,25,0,0,26,0,0,13,4.695,25,
1983,6,spa,FALSE,FALSE,FALSE,FALSE,FALSE,guerrero,Colombian,theodore,14,18,0,0,28,0,0,28,1,0,9,4.707,24,
1983,6,spa,FALSE,FALSE,FALSE,FALSE,FALSE,lauda,Austrian,mclaren,15,15,10,0,6,10,0,5,21,1,4,4.86,34,
1983,6,spa,FALSE,FALSE,FALSE,FALSE,FALSE,giacomelli,Italian,toleman,16,8,0,0,23,0,0,23,0,0,11,5.091,30,
1983,6,spa,FALSE,FALSE,FALSE,FALSE,FALSE,alboreto,Italian,tyrrell,17,14,0,0,16,0,0,14,2,0,7,5.124,26,
1983,6,spa,FALSE,FALSE,FALSE,FALSE,FALSE,boutsen,Belgian,arrows,18,24,0,0,0,0,0,0,4,0,6,5.261,25,
1983,6,spa,FALSE,FALSE,FALSE,FALSE,FALSE,mansell,British,team_lotus,19,16,0,0,21,0,0,21,0,0,13,5.309,29,0
1983,6,spa,FALSE,FALSE,FALSE,FALSE,FALSE,watson,British,mclaren,20,22,11,1,5,11,1,4,21,1,4,5.703,37,0
1983,6,spa,FALSE,FALSE,FALSE,FALSE,FALSE,jarier,French,ligier,21,23,0,0,18,0,0,17,0,0,10,6.739,36,0
1983,6,spa,FALSE,FALSE,FALSE,FALSE,FALSE,warwick,British,toleman,22,7,0,0,17,0,0,16,0,0,11,6.859,28,0
1983,6,spa,FALSE,FALSE,FALSE,FALSE,FALSE,sullivan,American,tyrrell,23,12,2,0,11,0,0,15,2,0,7,7.068,33,
1983,6,spa,FALSE,FALSE,FALSE,FALSE,FALSE,corrado_fabi,Italian,osella,24,20,0,0,27,0,0,27,0,0,15,7.119,22,
1983,6,spa,FALSE,FALSE,FALSE,FALSE,FALSE,cecotto,Venezuelan,theodore,25,10,1,0,13,1,0,11,1,0,9,7.245,27,
1983,6,spa,FALSE,FALSE,FALSE,FALSE,FALSE,boesel,Brazilian,ligier,26,13,0,0,15,0,0,12,0,0,10,7.695,25,0
1983,7,detroit,TRUE,FALSE,FALSE,FALSE,FALSE,arnoux,French,ferrari,1,17,8,0,7,8,0,7,31,1,2,0,34,
1983,7,detroit,TRUE,FALSE,FALSE,FALSE,FALSE,piquet,Brazilian,brabham,2,4,24,1,2,21,1,1,24,1,3,0.199,30,0
1983,7,detroit,TRUE,FALSE,FALSE,FALSE,FALSE,tambay,French,ferrari,3,26,23,1,3,17,1,3,31,1,2,1.257,33,
1983,7,detroit,TRUE,FALSE,FALSE,FALSE,FALSE,angelis,Italian,team_lotus,4,23,0,0,19,0,0,25,0,0,12,1.524,25,0
1983,7,detroit,TRUE,FALSE,FALSE,FALSE,FALSE,surer,Swiss,arrows,5,11,4,0,10,4,0,10,4,0,6,2.011,31,
1983,7,detroit,TRUE,FALSE,FALSE,FALSE,FALSE,alboreto,Italian,tyrrell,6,1,0,0,17,0,0,16,2,0,7,2.279,26,1
1983,7,detroit,TRUE,FALSE,FALSE,FALSE,FALSE,cheever,American,renault,7,24,8,0,8,4,0,9,36,2,1,2.6,25,
1983,7,detroit,TRUE,FALSE,FALSE,FALSE,FALSE,cesaris,Italian,alfa,8,16,0,0,24,0,0,22,1,0,9,2.719,24,0
1983,7,detroit,TRUE,FALSE,FALSE,FALSE,FALSE,warwick,British,toleman,9,21,0,0,15,0,0,17,0,0,10,2.8,28,
1983,7,detroit,TRUE,FALSE,FALSE,FALSE,FALSE,boutsen,Belgian,arrows,10,7,0,0,29,0,0,0,4,0,6,2.852,25,
1983,7,detroit,TRUE,FALSE,FALSE,FALSE,FALSE,guerrero,Colombian,theodore,11,14,0,0,28,0,0,28,1,0,8,2.967,24,
1983,7,detroit,TRUE,FALSE,FALSE,FALSE,FALSE,keke_rosberg,Finnish,williams,12,2,16,1,4,14,1,4,24,1,4,2.994,34,0
1983,7,detroit,TRUE,FALSE,FALSE,FALSE,FALSE,prost,French,renault,13,8,28,2,1,19,1,2,36,2,1,3.121,28,
1983,7,detroit,TRUE,FALSE,FALSE,FALSE,FALSE,mansell,British,team_lotus,14,6,0,0,23,0,0,21,0,0,12,3.661,29,
1983,7,detroit,TRUE,FALSE,FALSE,FALSE,FALSE,patrese,Italian,brabham,15,22,0,0,21,0,0,19,24,1,3,3.803,29,0
1983,7,detroit,TRUE,FALSE,FALSE,FALSE,FALSE,sullivan,American,tyrrell,16,18,2,0,11,2,0,11,2,0,7,3.914,33,
1983,7,detroit,TRUE,FALSE,FALSE,FALSE,FALSE,giacomelli,Italian,toleman,17,9,0,0,18,0,0,23,0,0,10,4.051,30,0
1983,7,detroit,TRUE,FALSE,FALSE,FALSE,FALSE,lauda,Austrian,mclaren,18,13,10,0,6,10,0,6,21,1,5,4.258,34,
1983,7,detroit,TRUE,FALSE,FALSE,FALSE,FALSE,jarier,French,ligier,19,19,0,0,20,0,0,18,0,0,11,4.26,36,
