season,circuit_id,level_2,podium
1987,estoril,grid,0.41333333333333333
1975,watkins_glen,grid,0.41304347826086957
2002,osterreichring,grid,0.4127611518915867
1971,silverstone,grid,0.41105676034200767
1965,monaco,grid,0.4106781726142675
2000,monaco,grid,0.4105025409373235
1997,albert_park,grid,0.40956521739130436
2018,hockenheimring,grid,0.4075187969924812
1997,imola,grid,0.40711462450592883
2002,sepang,grid,0.4059853190287973
2001,villeneuve,grid,0.4048560135516657
1966,brands_hatch,grid,0.4045112781954887
1975,zolder,grid,0.4043478260869565
1953,zandvoort,grid,0.4002525873676453
1995,monaco,grid,0.39623931623931624
1993,magny_cours,grid,0.3927538075048099
2008,marina_bay,grid,0.3924812030075188
2012,suzuka,grid,0.39217391304347826
1985,zandvoort,grid,0.39076923076923076
2001,indianapolis,grid,0.3890457368718238
2008,silverstone,grid,0.3879699248120301
1969,rodriguez,grid,0.3872549019607843
2007,shanghai,grid,0.3867871259175607
1972,nivelles,grid,0.3861538461538462
1968,kyalami,grid,0.38580049619909573
1996,interlagos,grid,0.3856578204404291
1972,watkins_glen,grid,0.3852188214862951
2008,albert_park,grid,0.3845285149632976
1977,fuji,grid,0.383399209486166
1953,indianapolis,grid,0.38252977707905783
1998,spa,grid,0.38226990400903443
1976,anderstorp,grid,0.38156288156288154
1968,essarts,grid,0.3799019607843137
2018,silverstone,grid,0.37894736842105264
1974,interlagos,grid,0.37846153846153846
2017,sepang,grid,0.3773922756388532
2015,albert_park,grid,0.3766769865841073
1966,rodriguez,grid,0.3746130030959752
1995,interlagos,grid,0.372991452991453
1975,galvez,grid,0.3725296442687747
1984,brands_hatch,grid,0.3705528188286809
1986,imola,grid,0.36957264957264957
2012,marina_bay,grid,0.36695652173913046
1999,suzuka,grid,0.3664653831438649
1969,zandvoort,grid,0.36428571428571427
1953,spa,grid,0.3640584149001257
2006,indianapolis,grid,0.36307171089779783
2016,americas,grid,0.3619424054206663
1987,suzuka,grid,0.3614163614163614
1958,nurburgring,grid,0.36
1986,adelaide,grid,0.35863247863247866
1999,silverstone,grid,0.3585544889892716
1987,ricard,grid,0.3565811965811966
1984,dijon,grid,0.3558974358974359
1994,jerez,grid,0.35530481888921017
1972,charade,grid,0.3546153846153846
2019,BAK,grid,0.35430621638103044
1997,hungaroring,grid,0.35290796160361376
2006,interlagos,grid,0.35177865612648224
2018,bahrain,grid,0.35037593984962406
1985,spa,grid,0.35030950334640987
1950,reims,grid,0.3496040276283052
2002,monaco,grid,0.3495200451722191
1973,monaco,grid,0.34923076923076923
1952,indianapolis,grid,0.3488772994925854
2010,sepang,grid,0.34695652173913044
1952,nurburgring,grid,0.34692837367589036
1972,osterreichring,grid,0.34692307692307695
1971,monza,grid,0.3443478260869565
2015,spa,grid,0.34285714285714286
1950,monza,grid,0.3421057544742768
2004,sepang,grid,0.34135338345864663
1993,silverstone,grid,0.3408547008547009
1986,rodriguez,grid,0.33886143400444574
1972,nurburgring,grid,0.33821733821733824
1967,spa,grid,0.33746130030959753
1971,watkins_glen,grid,0.3359605911330049
1986,spa,grid,0.3353846153846154
1987,jerez,grid,0.3339438339438339
1996,spa,grid,0.33383458646616543
1987,adelaide,grid,0.3333333333333333
1952,bremgarten,grid,0.3322884026627201
1997,silverstone,grid,0.33145115753811405
1976,zandvoort,grid,0.3308913308913309
1966,nurburgring,grid,0.32952617978821713
1954,spa,grid,0.328933345901443
2017,BAK,grid,0.32781954887218046
2019,monza,grid,0.324812030075188
1960,monza,grid,0.3235294117647059
1987,hungaroring,grid,0.3230769230769231
2000,nurburgring,grid,0.3220779220779221
2014,yas_marina,grid,0.3218045112781955
2016,sepang,grid,0.32128740824393
1996,monaco,grid,0.32128740824393
1958,galvez,grid,0.3212121212121212
1951,spa,grid,0.31868131868131866
2006,albert_park,grid,0.3178994918125353
2014,monaco,grid,0.3178994918125353
1951,indianapolis,grid,0.3166757813030055
1973,montjuic,grid,0.3156408808582722
2005,suzuka,grid,0.31278195488721805
1952,spa,grid,0.31225296442687744
2010,yeongam,grid,0.31217391304347825
1973,osterreichring,grid,0.31126482213438733
2001,monza,grid,0.3111236589497459
1985,detroit,grid,0.30846153846153845
1976,osterreichring,grid,0.30846153846153845
1985,silverstone,grid,0.30735042735042734
1984,detroit,grid,0.3064713064713065
1960,silverstone,grid,0.3052042089736808
1985,kyalami,grid,0.3051948051948052
1957,monza,grid,0.3039822860166234
2004,nurburgring,grid,0.3037593984962406
2003,albert_park,grid,0.2992481203007519
1999,hockenheimring,grid,0.2987012987012987
1961,zandvoort,grid,0.2978042504433212
2003,hockenheimring,grid,0.29761365907098913
2011,monaco,grid,0.2956521739130435
1997,villeneuve,grid,0.2941840767927724
1971,osterreichring,grid,0.2919254658385093
1955,aintree,grid,0.289430833092781
1960,riverside,grid,0.2875494071146245
1954,silverstone,grid,0.2821414806842777
1993,catalunya,grid,0.28136752136752136
2000,silverstone,grid,0.28063241106719367
1979,galvez,grid,0.27794871794871795
2001,monaco,grid,0.2761151891586674
1970,spa,grid,0.27450980392156865
2010,spa,grid,0.27391304347826084
1993,estoril,grid,0.27247863247863247
1995,hockenheimring,grid,0.27217391304347827
1993,monaco,grid,0.27111111111111114
1995,galvez,grid,0.2676923076923077
1985,nurburgring,grid,0.2673992673992674
1968,nurburgring,grid,0.2661654135338346
2016,catalunya,grid,0.2648221343873518
2005,bahrain,grid,0.2646616541353383
1959,avus,grid,0.2642857142857143
1985,ricard,grid,0.26222222222222225
1979,osterreichring,grid,0.2619910962641429
1996,hockenheimring,grid,0.26165413533834586
1974,zandvoort,grid,0.2614687458337607
1967,monza,grid,0.26109391124871
1958,ain-diab,grid,0.2592307692307692
2007,fuji,grid,0.25804630152456237
1955,indianapolis,grid,0.25691177477049326
2011,albert_park,grid,0.2524308329098654
2014,albert_park,grid,0.2523997741389046
1968,brands_hatch,grid,0.2518294442315647
1977,interlagos,grid,0.25014116318464147
1975,osterreichring,grid,0.24983888629917128
1950,silverstone,grid,0.24518738480442362
1996,monza,grid,0.24511278195488723
1967,mosport,grid,0.24458204334365324
1993,villeneuve,grid,0.24376068376068377
1973,monza,grid,0.24307692307692308
1973,interlagos,grid,0.2424383368527295
2011,villeneuve,grid,0.2382608695652174
1998,silverstone,grid,0.2354601919819311
2000,indianapolis,grid,0.233201581027668
1956,spa,grid,0.23187699627598762
2019,spa,grid,0.23157894736842105
1962,watkins_glen,grid,0.23015999812019375
2017,catalunya,grid,0.23007518796992482
1975,zandvoort,grid,0.23
1967,silverstone,grid,0.22930359757347865
1964,zandvoort,grid,0.22848373124619456
1994,suzuka,grid,0.22795739737888032
1957,aintree,grid,0.22747589021159736
2018,BAK,grid,0.22556390977443608
1972,monaco,grid,0.22503491545585816
2011,spa,grid,0.2234782608695652
1954,indianapolis,grid,0.2230606376689767
2001,osterreichring,grid,0.2230378317334839
1986,monza,grid,0.22039072039072038
2006,hungaroring,grid,0.21964991530208922
1954,monza,grid,0.21912677047415663
2007,villeneuve,grid,0.21852060982495766
2005,hockenheimring,grid,0.21804511278195488
1995,adelaide,grid,0.21739130434782608
1994,villeneuve,grid,0.21672771672771673
2001,silverstone,grid,0.21626199887069453
1960,spa,grid,0.21403508771929824
2004,monaco,grid,0.21353383458646616
1995,monza,grid,0.21304347826086956
2015,sochi,grid,0.212385931413765
1974,monaco,grid,0.21237000547345375
2018,americas,grid,0.21052631578947367
1973,mosport,grid,0.21025641025641026
1967,watkins_glen,grid,0.20949432404540763
1971,nurburgring,grid,0.20765281660357837
1984,dallas,grid,0.20547008547008547
1995,suzuka,grid,0.20521739130434782
1975,montjuic,grid,0.20273504273504273
1976,interlagos,grid,0.20271033314511575
1965,watkins_glen,grid,0.20123839009287925
1973,watkins_glen,grid,0.20087575259989054
1977,watkins_glen,grid,0.20085470085470086
1974,nivelles,grid,0.19631976513374877
1974,anderstorp,grid,0.19536019536019536
1972,kyalami,grid,0.19384615384615383
1976,mosport,grid,0.19164307255672505
2003,suzuka,grid,0.18947368421052632
1999,magny_cours,grid,0.189158667419537
1978,galvez,grid,0.18914609441266347
1980,osterreichring,grid,0.18684101865153352
2003,nurburgring,grid,0.18345864661654135
1986,osterreichring,grid,0.1829059829059829
1999,albert_park,grid,0.18125352907961603
1954,bremgarten,grid,0.17892156862745098
1979,interlagos,grid,0.17580981459830644
1973,nurburgring,grid,0.17447769621682666
2009,hungaroring,grid,0.17443609022556392
1954,nurburgring,grid,0.17296869728176514
1984,jacarepagua,grid,0.17216117216117216
1956,silverstone,grid,0.17149787663244975
1962,nurburgring,grid,0.17031195968746712
1970,brands_hatch,grid,0.16996047430830039
1982,imola,grid,0.16923076923076924
1995,silverstone,grid,0.16869565217391305
1991,hockenheimring,grid,0.16800733235746068
1964,nurburgring,grid,0.16798418972332016
1987,hockenheimring,grid,0.1664957264957265
1997,nurburgring,grid,0.16544325239977414
1983,kyalami,grid,0.16512820512820514
1959,reims,grid,0.16431394692264256
2018,red_bull_ring,grid,0.16390977443609023
1985,jacarepagua,grid,0.16384615384615384
1977,galvez,grid,0.16363636363636364
1990,adelaide,grid,0.1629371522314469
1966,reims,grid,0.16176470588235295
1995,villeneuve,grid,0.1608695652173913
1984,zandvoort,grid,0.1588222939456771
1956,reims,grid,0.15731469759236763
1974,galvez,grid,0.15615384615384614
1998,monaco,grid,0.1541501976284585
